cluster_id,author_label,annotation,state,CL_term,CL_term_id,confidence,author_label_similarity_score
1,0,Melanoma Cell (immune-evasive),"proliferative, immune-evasive, ER-stressed",melanocyte,CL_0000148,High,
2,1,Cancer-Associated Fibroblast (inflammatory interferon),"activated, ECM-remodeling",fibroblast,CL_0000057,High,
3,2,Melanoma Cell (interferon-activated),"interferon-activated, ER-stressed",melanocyte,CL_0000148,High,
4,3,Epithelioid Melanoma Cell,"differentiated, quiescent",melanocyte,CL_0000148,High,
5,4,Melanoma Cell (glycolytic),"Stressed, hypoxic, metabolically reprogrammed with neural crest-like features",melanocyte,CL_0000148,High,
6,5,Basal Epithelial Cell (quiescent Trp63+),quiescent,basal cell,CL_0000646,High,
7,6,Melanoma Cell (GPNMB+),"proliferative, stressed",melanocyte,CL_0000148,High,
8,7,"Outer Root Sheath Cell (Sox9+, quiescent)",quiescent,outer root sheath cell,CL_0002561,High,
9,8,Perivascular Fibroblast-Like Cell,"activated, ECM-remodeling",perivascular cell,CL_4033054,Moderate,
10,9,Squamous-Differentiated Melanoma Cell,dedifferentiated with squamous transdifferentiation,melanocyte,CL_0000148,High,
11,10,"Outer Root Sheath Keratinocyte (KRT71+, TRP63+)",quiescent,outer root sheath cell,CL_0002561,High,
12,11,Cancer-Associated Fibroblast (immunomodulatory macrophage),"activated, immunomodulatory",fibroblast,CL_0000057,High,
13,12,Proliferative Epithelial-Like Melanoma Cell,proliferative,melanocyte,CL_0000148,High,
14,13,Tumor-Associated Macrophage (M2-polarized),"mature, stress-adapted, immunomodulatory",tissue-resident macrophage,CL_0000864,Moderate,
15,14,Tumor-Associated Endothelial Cell,"angiogenic, immunologically quiescent",blood vessel endothelial cell,CL_0000071,High,
16,15,Epithelial-Like Cell (desmosomal non-keratin),"terminally differentiated, non-proliferative, stress-responsive",spinous cell,CL_4052060,Moderate,
17,16,Melanoma Cell (proliferative interferon+),"Interferon-activated, proliferating, ER-stressed",melanocyte,CL_0000148,High,
18,17,Tumor-Associated Macrophage (mixed M1/M2),interferon-activated,macrophage,CL_0000235,High,
19,18,Tumor-Associated Macrophage (M1-like phagocytic),"activated, phagocytic, proliferating",elicited macrophage,CL_0000861,High,
20,19,"Hair Follicle Keratinocyte (Krt28+, reprogramming)","differentiated, microenvironmentally influenced",inner root sheath cell,CL_0002560,High,
21,20,Cancer-Associated Fibroblast (interferon neuronal),"Activated, non-proliferative, interferon-responsive",fibroblast,CL_0000057,High,
22,21,Melanoma Cell (epithelial GPNMB+),Epithelial-differentiated with metabolic reprogramming,melanocyte,CL_0000148,High,
23,22,Dedifferentiated Melanoma Cell,"quiescent, dedifferentiated, immune-evasive",melanocyte of skin,CL_1000458,High,
24,23,Melanoma Cell (lipid synthesis),"Metabolically reprogrammed, quiescent, ER-stressed",melanocyte,CL_0000148,Moderate,
25,24,Melanoma Cell (neuroendocrine),"quiescent, neuroendocrine-like differentiation",neoplastic cell,CL_0001063,High,
26,25,Melanoma Cell (ECM-secreting),"transdifferentiated, ECM-secreting, non-proliferative",melanocyte,CL_0000148,High,
27,26,Melanoma Cell (quiescent),"quiescent, dedifferentiated",melanocyte,CL_0000148,High,
28,27,"Keratinocyte (KRT79+, basement)",quiescent,hair follicular keratinocyte,CL_2000092,High,
29,28,Epithelial-Transdifferentiated Melanoma Cell,"transdifferentiated, stressed",melanocyte of skin,CL_1000458,High,
30,29,Fibroblast,"activated, matrix-producing, stress-adapted",fibroblast,CL_0000057,Moderate,
31,30,Skeletal Muscle Cell,"mature, quiescent",type IIx muscle cell,CL_4052026,High,
32,31,"Hair Follicle Keratinocyte (KRT78+, differentiation)",differentiated,inner root sheath cell,CL_0002560,High,
33,32,Epithelial Cell (COL7A1-high ITGB4+),quiescent with neural-epithelial hybrid features,epithelial cell,CL_0000066,Moderate,
34,33,Cancer-Associated Fibroblast (GPCR remodeling),"activated, ECM-producing, non-proliferative",fibroblast,CL_0000057,High,
35,34,Melanoma Cell (myeloid-like),"Proliferative, ECM-remodeling, stressed",melanocyte,CL_0000148,High,
36,35,Cancer-Associated Adipocyte,"metabolically active, non-proliferative, inflammatory-responsive",white adipocyte,CL_0000448,High,
37,36,Cancer-Associated Fibroblast (PDGFRA+ neural crest),activated,fibroblast,CL_0000057,High,
